Budget,Runtime,Popularity,Vote_Average,Vote_Count,Genres,Revenue,Release_Year,Release_Month,Release_Quarter,Revenue_Log,Budget_Log
7000000.0,92.0,5.579088,6.3,66.0,Comedy,14702438.0,1996,3,1,16.50352395635338,15.76142084987672
50000000.0,95.0,11.418917,5.1,45.0,Action,9851610.0,1995,10,4,16.10314555307438,17.72753358339242
31000000.0,117.0,6.49968,6.7,303.0,Comedy,185260553.0,1996,3,1,19.037273792177565,17.249497794707484
19000000.0,118.0,9.262184,6.5,1729.0,Action,141407024.0,1995,4,2,18.76715299194654,16.759949589762293
4000000.0,113.0,0.922958,6.0,11.0,Romance,851545.0,1995,7,3,13.65480879993929,15.201805169084134
52000000.0,140.0,18.761467,7.3,1637.0,Drama,355237933.0,1995,6,2,19.688298359551155,17.76675429577647
28000000.0,139.0,10.193549,6.5,151.0,Adventure,31596911.0,1995,4,2,17.268569952263096,17.147715103853763
100000000.0,121.0,13.321354,5.2,1529.0,Action,336529144.0,1995,6,2,19.63419531548269,18.420680753952364
2000000.0,83.0,11.528147,6.8,28.0,Comedy,1275000.0,1995,9,3,14.058457520888082,14.508658238524095
11000000.0,91.0,5.391556,5.9,57.0,Action,178104.0,1995,6,2,12.090128542999349,16.213405921671733
50000000.0,100.0,12.812539,6.0,1045.0,Fantasy,287928194.0,1995,5,2,19.478221684097427,17.72753358339242
25000000.0,128.0,4.558992,6.8,69.0,Mystery,13071518.0,1995,9,3,16.385946299199293,17.034386422832473
50000000.0,109.0,7.260574,5.0,214.0,Action,152022101.0,1995,6,2,18.839536476134583,17.72753358339242
53000000.0,116.0,8.657365,7.0,508.0,Action,157387195.0,1995,5,2,18.874219543751828,17.78580249038432
7000000.0,104.0,6.950458,6.8,898.0,Thriller,25405445.0,1995,8,3,17.050474118455163,15.76142084987672
27000000.0,102.0,4.646132,6.3,88.0,Drama,16140822.0,1995,9,3,16.59686221083196,17.11134746100564
90000000.0,128.0,15.138855,6.9,2094.0,Action,366101666.0,1995,5,2,19.71842163148081,18.31532023940565
55000000.0,134.0,15.178338,5.9,319.0,Action,127600435.0,1995,7,3,18.664414345797027,17.822843761378564
20000000.0,107.0,14.810519,6.2,406.0,Action,7563728.0,1995,9,3,15.838874880514219,16.811242881518265
25000000.0,97.0,11.715868,5.5,380.0,Adventure,19075720.0,1995,5,2,16.7639269325856,17.034386422832473
90000000.0,96.0,8.184815,5.4,643.0,Science Fiction,113493481.0,1995,6,2,18.547255965923945,18.31532023940565
1500000.0,91.0,4.877872,6.8,280.0,Drama,7412216.0,1995,7,3,15.818640142807183,14.220976332738882
500000.0,89.0,10.058329,7.2,64.0,Drama,1148752.0,1995,1,1,13.9541875641829,13.122365377402328
6000000.0,94.0,8.25547,6.8,400.0,Romance,2122561.0,1995,10,4,14.56813440757729,15.607270193858982
15000000.0,92.0,7.024227,5.2,153.0,Action,66000000.0,1995,6,2,18.005165315142214,16.52356082573315
2.0,95.0,2.466066,6.4,36.0,Thriller,1.0,1995,9,3,0.6931471805599453,1.0986122886681098
22000000.0,114.0,13.304342,5.6,359.0,Crime,110627965.0,1995,7,3,18.521683472232386,16.906553056777135
150000.0,94.0,1.165039,5.8,14.0,Comedy,472370.0,1995,6,2,13.0655199727673,11.918397239722838
8.0,98.0,10.187623,6.4,139.0,Fantasy,16.0,1995,9,3,2.833213344056216,2.1972245773362196
50000000.0,135.0,6.752119,5.5,111.0,Drama,10382407.0,1995,10,4,16.155623393383497,17.72753358339242
45000000.0,128.0,17.502375,4.9,261.0,Drama,20350754.0,1995,9,3,16.828628569901763,17.622173069956816
7000000.0,112.0,5.552946,7.2,115.0,Comedy,8349430.0,1995,6,2,15.937703950792574,15.76142084987672
35000000.0,108.0,13.492845,5.5,457.0,Science Fiction,113374103.0,1995,7,3,18.5462035633915,17.370858648025116
42000000.0,145.0,11.223055,6.8,334.0,Crime,7959291.0,1995,10,4,15.889850609141131,17.553180200057167
14000000.0,99.0,1.820419,4.6,9.0,Thriller,5780000.0,1995,9,3,15.569914413658926,16.454567959008102
60000000.0,100.0,7.490247,5.6,217.0,Action,104324083.0,1995,7,3,18.46301280414933,17.909855136853043
